行号,号码,金额,状态,生效日期,失效日期,备注
1,57733801124681,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
2,32251075075318,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
3,78403006863812,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
4,53821161713540,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
5,80153181711043,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
6,36305102708546,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
7,11723276540275,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
8,47065287547777,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
9,32483362487416,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
10,68625273476010,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
11,05767203474413,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
12,80385368224141,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
13,26437388212644,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
14,11044454163362,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
15,47187474151865,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
16,74330484048368,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
17,68756560808006,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
18,05088570886500,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
19,70416555747237,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
20,26658565735731,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
21,53801585623234,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
22,37328651573862,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
23,74551671562465,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
24,58078746422103,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
25,85221766310606,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
26,32363776307100,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
27,16871852258827,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
28,43023762246321,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
29,37541847006050,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
30,64783857084553,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
31,01825878072055,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
32,85443043833784,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
33,22585064821287,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
34,16113138671825,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
35,43245150668428,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
36,70487160657822,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
37,64815245517650,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
38,01157155405153,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
39,75575231346771,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
40,22717241344374,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
41,58050261332777,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
42,33477336172515,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
43,70620356170018,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
44,54137422021746,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
45,81370442018240,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
46,37422452016643,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
47,12040537756471,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
48,48172447744874,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
49,32600523605612,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
50,60742533683115,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
51,06084553571518,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
52,81412628432337,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
53,27644648420730,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
54,11162714370568,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
55,48314734267062,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
56,75556645255565,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
57,60064720116203,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
58,06216731104606,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
59,70634815854434,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
60,02143238280252,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
61,86561304140880,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
62,23713324037483,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
63,16221480888122,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
64,44463410876524,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
65,71515330864127,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
66,65133405625746,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
67,02265425613340,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
68,75783581553077,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
69,23835511551471,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
70,50177521548074,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
71,33505606380612,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
72,71737616377215,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
73,54255782237843,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
74,82407702225346,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
75,38640623113840,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
76,12157787064577,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
