code,baiji_shop_id,tcv_id,official_name,common_name,drug_format,size,approval_number,department_name,drug_type,member_price,sale_price,company,rx_otc,composition,indications,usage,warning,adverse_reactions,storage_type,link,picture
130532,9055,,一平苏,西拉普利片,片剂,2.5mg*16片,国药准字H19990344,心脑血管,心脑血管系统-血管紧张素转换酶抑制剂,55.8,55.8,上海罗氏制药有限公司,RX处方登记,西拉普利,用于治疗原发性高血压和肾性高血压，也可与洋地黄和(或)利尿剂合用治疗慢性心力衰竭。,口服：应在每天的同一时间内服药，餐前或餐后服药均可。 （1）原发性高血压：通常剂量是2.5～5.0mg，每日一次。推荐的起始剂量为1mg片剂，每日1次。起始剂量很少能达到所需的疗效，应根据每个病人的血压情况分别调整剂量。如每日1次5mg仍不能控制血压时，则可加用非潴钾利尿药以增强其降压效果。   （2）肾性高血压：与原发性高血压相比，血管紧张素转换酶抑制剂能更显著地减低肾性高血压。所以治疗肾性高血压时，起始剂量应为0.5mg或0.25mg，每日1次。维持剂量应按个体调整。   （3）服用利尿剂的高血压病人：在治疗前2～3天，应停用利尿剂以减少可能发生的症状性低血压。但如需要，以后可再恢复使用。这类病人的推荐起始剂量为0.5mg，每日1次。  （4）慢性心力衰竭：可与洋地黄和(或)利尿剂联合使用治疗慢性心力衰竭，起始剂量应以0.5mg，每日一次，并在严格的医生指导下进行。可根据耐受情况及临床状况将剂量增加至1mg，每日1次的最大维持剂量。此外，若需要把维持剂量调整至1～2.5mg之间，应根据病人的反应、临床状况及耐受性而进行调整。通常最大剂量为5mg，每日1次。　临床试验结果证明，慢性心力衰竭病人的西拉普利拉清除率与肌酐清除率相互关联，因此慢性心力衰竭和肾功能不全病人应按肾功能调整用药剂量。（见下表）　肌酐清除率起 始 剂 量 最 大 剂 量　　＞40ml/min　　1mg每日1次　　5mg每日1次　　10～4ml/min　　0.5mg每日1次　　2.5mg每日1次　　＞10ml/min　根据血压情况　0.25～0.5mg 每周1～2次需要血液透析的病人，应在不进行透析时服用，剂量应根据血压情况调整。如同其他血管紧张素转换酶抑制剂一样，使用高流量聚丙烯腈膜透析时会产生过敏反应，要避免这种情况，就应改用其他降压药，或是改换透析膜种类。  （5）肝硬化：在极少情况下肝硬化病人需服用。由于可能会导致严重的低血压，故必须以0.5mg或0.25mg每日1次的起始剂量谨慎用药。  （6）老年人：以每日0.5mg片剂作为起始剂量进行治疗，并根据不同病人的耐受性、疗效及临床状况以1～2.5mg的维持剂量用药。  （7）儿童：由于尚未定出对儿童的药物效能及安全范围，故尚无法推荐儿童服用方案。,（1）用血管紧张素转换酶抑制剂治疗偶见症状性低血压。特别是因呕吐、腹泻，先已服用利尿剂、低钠饮食或血透后腹水低钠或低血容量的病人；  （2）急性低血压病人必须平卧休息，必要时静脉滴注氯化钠注射液水或扩容剂。  （3）慢性心力衰竭病人用可能会导致血压显著降低。  （4）外科麻醉：血管紧张素转换酶抑制剂与具有降压作用的外科麻醉剂合用时，能导致动脉性低血压，发生这种情况时，则应以静脉输液法扩大血容量。无效时，应静脉滴注血管紧张素Ⅱ。  （5）过敏样反应：虽然过敏样反应机制尚未确立，但已有临床显示，病人在服用血管紧张素转换酶抑制剂期间(包括西拉普利)，若使用高流量多丙烯腈膜继续血透、血过滤或LDL分离性输血，可导致过敏性反应或过敏样反应，包括危及生命的休克。故正在接受血管紧张素转换酶抑制剂的病人一定要避免以上各种治疗。  （6）此外，若病人在服用血管紧张素转换酶抑制剂期间，同时接受用黄蜂或蜜蜂毒液作脱敏治疗，可能发生过敏性反应。因此，在接受脱敏治疗前一定要停止服用西拉普利，在这种情况下，不可用β-阻滞剂来代替西拉普利。,最常见不良反应是头痛与头晕。其他发生率少于2%的不良反应包括乏力，低血压、消化不良、恶心、皮疹和干咳。大多数不良反应是短暂性的，轻度或中度，无需中止用药。特异性反应：与其他血管紧张素转换酶抑制剂一样，罕见血管神经性水肿。但由于此症可能伴有喉头水肿，故一旦波及面部、口唇、舌、声带和(或)喉头时，必须立刻停用并进行适当治疗。某些病人中有血红蛋白、红细胞压积和(或)白细胞计数降低的报告，但尚无病例证明与本品有明确关系。,密封，置阴凉处,http://www.baiji.com.cn/goods-9055.html,
121435,5927,,一舒,盐酸丁螺环酮片,片剂,5mg*24片,国药准字H19991024,神经和肌肉系统,神经和肌肉系统-抗抑郁药抗焦虑药,23,24,江苏恩华药业股份有限公司,凭原处方销售,盐酸丁螺环酮,用于广泛性焦虑症、抑郁症、强迫症及戒烟、酒后的戒断反应。,口服 开始一次5mg，一日2~3次。第二周可加至一次10mg，一日2~3次。常用治疗剂量一日20mg~40mg。,１、 心、肝、肾功能障碍者慎用。２、 老年人应减小剂量。３、 与单胺氧化酶抑制剂合用可致血压升高，切忌合用。[规 格]５mg/片[包 装]24片、12片、60片／铝塑包装盒。,有头晕、头痛、恶心、呕吐及胃肠功能紊乱。,"密闭,避光保存",http://www.baiji.com.cn/goods-5927.html,http://imgcdn.baiji.com.cn/images/201312/thumb_img/5927_thumb_G_1386668260542.JPG
127608,10082,,一舒,盐酸丁螺环酮片,片剂,5mg*60片,国药准字H19991024,神经和肌肉系统,神经和肌肉系统-抗抑郁药抗焦虑药,58,58.8,江苏恩华药业股份有限公司,凭原处方销售,0,各种焦虑症。,,,,,http://www.baiji.com.cn/goods-10082.html,http://imgcdn.baiji.com.cn/images/201306/thumb_img/10082_thumb_G_1371635076673.jpg
121713,7136,,丁贺,阿德福韦酯片,片剂,10mg*14片,国药准字H20080034,肝病,肝病-抗病毒药物,119,135,辰欣药业股份有限公司,凭原处方销售,阿德福韦酯,用于治疗乙型肝炎病毒活动复制和血清氨基酸转移酶持续升高的肝功能代偿的成年慢性乙型肝炎患者。,    患者必须在有慢性乙型肝炎治疗经验的医生指导下使用本品。      成人（18～65岁）本品的推荐剂量为每日1次，每次10mg，饭前或饭后口服均可。      治疗的最佳疗程尚未确定。勿超过推荐剂量使用。      患者应当定期监测乙型肝炎生化指标、病毒学指标和血清标志物，至少每6个月1次。,1．病人停止乙肝治疗会发生肝炎急性加重，包括停止使用阿德福韦酯。因此，停止乙肝治疗的病人应密切监测肝功能，若必要，应重新进行抗乙肝治疗。  2．对于肾功能障碍或潜在肾功能障碍风险的病人，使用阿德福韦酯慢性治疗会导致肾毒性。这些病人应密切监测肾功能并适当调整剂量。  3．使用阿德福韦酯治疗前，应对所有病人进行人类免疫缺陷病毒（HIV）抗体检查。使用抗乙肝治疗药物，如阿德福韦酯，会对慢性乙肝病人携带的未知或未治疗的HIV产生作用，也许会出现HIV耐药。  4．单用核苷类似物或合用其他抗逆转录病毒药物会导致乳酸性酸中毒和严重的伴有脂肪变性的肝肿大，包括致命事件。  5．因为对发育中的人类胚胎的危险性尚不明确，所以建议用阿德福韦酯治疗的育龄妇女要采取有效的避孕措施。,国外临床研究中常见不良反应为虚弱、头痛、腹痛、恶心、（胃肠）气胀、腹泻和消化不良。国内临床研究中不良反应为白细胞减少（轻度）、腹泻（轻度）和脱发（中度）。临床研究中发生1例严重不良事件，为服用本品治疗29周后的1例急性粒细胞白血病M3型，经研究者判断与本品无关。,密封，置阴凉处,http://www.baiji.com.cn/goods-7136.html,http://imgcdn.baiji.com.cn/images/201204/thumb_img/7136_thumb_G_1334284062460.jpg
127876,11373,,丁齐尔,雷贝拉唑钠肠溶片,片剂,10mg*7片,国药准字H20110160,消化科,消化系统-制酸剂和治疗消化性溃疡的药物,30,32,海南中化联合制药工业股份有限公司,RX处方登记,雷贝拉唑钠,胃溃疡、十二指肠溃疡、吻合口溃疡、反流性食管炎、卓-艾氏（Zollinger-Ellison）综合征。辅助用于胃溃疡或十二指肠溃疡患者根除幽门螺旋杆菌。,,,,25C以下,http://www.baiji.com.cn/goods-11373.html,
230349,6338,,七十味珍珠丸,七十味珍珠丸,丸剂,1g*6丸,国药准字Z54020062,神经和肌肉系统,神经和肌肉系统-脑血管病用药,336,336,西藏甘露藏药股份有限公司,RX处方登记,珍珠、九眼石、西红花、檀香、降香、丁香、余甘子、草莓、高山党参、甘草、牛黄、麝香等70味。 ,中风、癫痫、高血压、心脏病、神经性障碍,大丸装：口服，重病人一日1克（一丸）；每隔3-7天1克（一丸），开水泡服或青稞酒浸泡过夜服用。微丸装：开水送服。重病人一日30丸；一般每隔3-7天30丸。,服用七十味珍珠丸需要注意以下几个方面：服药期间禁食大蒜，服药期间尽量少食肥腻辛辣之品及醋，服药当天早上尽量少食蛋类食品。服用七十味珍珠丸期间可以服用其他中药、中成药或西药，但需要注意的是，服七十味珍珠丸4个小时以上时间后才能服用其他药物。,尚不明确,密封,http://www.baiji.com.cn/goods-6338.html,http://imgcdn.baiji.com.cn/images/201412/thumb_img/6338_thumb_G_1418269499256.jpg
231235,6481,,七十味珍珠丸,七十味珍珠丸,丸剂,1g*2丸*3盒,国药准字Z63020062,神经和肌肉系统,神经和肌肉系统-脑血管病用药,368,399,金诃藏药股份有限公司,RX处方登记,珍珠、檀香、降香、九眼石、西红花、牛黄、人工麝香等70味。,安神、镇静、通经活络、调和气血、醒脑开窍。用于“黑白脉病”、“龙血”不调；中风、瘫痪、半身不遂、癫痫、脑溢血、脑震荡、心脏病、高血压及神经性障碍。,研碎后开水送服。重病人一日1g，每隔3～7天1g。,禁用陈旧、酸性食物。,尚不明确,密封,http://www.baiji.com.cn/goods-6481.html,http://imgcdn.baiji.com.cn/images/201311/thumb_img/6481_thumb_G_1385455345214.jpg
231331,6492,,七十味珍珠丸（微丸）,七十味珍珠丸（微丸）,丸剂,30丸/g*3瓶,国药准字Z54020081,神经和肌肉系统,神经和肌肉系统-脑血管病用药,210,210,西藏自治区藏药厂,RX处方登记,珍珠、檀香、降香、甘草、天竺黄、西红花、体外培育牛黄、人工麝香、珊瑚、玛瑙、九眼石等七十味。,"安神，镇静，通经活络，调和气血，醒脑开窍。用于""黑白脉病""、""龙血""不调；中风、瘫痪、半身不遂、癫痫、脑溢血、脑震荡、心脏病、高血压及神经性障碍。",晨起空腹加温开水送服。重病人每日一次，每次1克（30丸）；轻症或预防者每隔3-7天1克（30丸）；或遵医嘱。,禁用陈旧、酸性食物。,尚不明确。,密封,http://www.baiji.com.cn/goods-6492.html,http://imgcdn.baiji.com.cn/images/201204/thumb_img/6492_thumb_G_1333937442183.jpg
221066,8635,,七叶神安片,七叶神安片,片剂,100mg*24片,国药准字Z44022694,神经和肌肉系统,神经和肌肉系统-安神剂,18.7,18.7,广东环球制药有限公司,RX处方登记,三七叶总皂苷。,益气安神。用于心气不足所致的心悸、失眠。,口服，一次50～100毫克，一日3次；饭后服。,1.忌烟、酒及辛辣、油腻食物。  2.服药期间要保持情绪乐观，切忌生气恼怒。  3.感冒发热病人不宜服用。  4.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。  5.儿童、孕妇、哺乳期妇女、年老体弱者应在医师指导下服用。  6.服药7天症状无缓解，应去医院就诊。  7.对本品过敏者禁用，过敏体质者慎用。  8.本品性状发生改变时禁止使用。  9.儿童必须在成人监护下使用。  10.请将本品放在儿童不能接触的地方。  11.如正在使用其他药品，使用本品前请咨询医师或药师。,,密封,http://www.baiji.com.cn/goods-8635.html,http://imgcdn.baiji.com.cn/images/201207/thumb_img/8635_thumb_G_1343378987047.jpg
241079,7854,,七味通痹口服液,七味通痹口服液,口服溶液剂,10ml*10支,国药准字Z20070033,神经和肌肉系统,神经和肌肉系统-脑血管病用药,86,86,江苏南星药业有限责任公司,RX处方登记,青风藤、千年健、鹿衔草、鸡血藤、石楠藤、拟黑多刺蚁、威灵仙 。,补肾壮骨，祛风蠲痹。证属肝肾不足，风湿阻络。症见关节疼痛，肿胀，屈伸不利，腰膝酸软，硬结，晨僵，步履艰难，遇寒痛增，舌质淡或暗，苔薄白等。,,,,密封,http://www.baiji.com.cn/goods-7854.html,
