id,nom,nom_zh,adresse,adresse_zh,ville,ville_zh,cp,mail,website,latitude,longitude,descr_fr,descr_en,descr_zh,descr_ja,descr_de,enum( tel (lang,type )),enum( spe (lang))
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
44,ParkwayHealth Hong Qiao Medical Center,百汇医疗上海瑞祥门诊部,"No.2258 ,Hong Qiao Road",上海虹桥路2258号,Shanghai,上海,200336,stephanie.wang@parkwayhealth.cn,http://www.parkwayhealth.cn,31.198686,121.384983,,"With a need for people in worldwide to access top quality international healthcare, Singapore Parkway Holdings Limited, the largest private medical group in Asia opened its first medical and surgical center in Shanghai in 2005. ParkwayHeath China currently operates the largest network of 8 medical centers in Shanghai, and 1 state of the art international clinic in Chengdu.
\

\
With a combination of more than 80 expatriate and local physicians, we are capable to provide over 30 specialties, including birthing and inpatient services in more than 20 languages. This leaves you free to enjoy your life, safe in the knowledge that should you need medical assistance, ParkwayHealth is here to provide with you services that you can depend on.
\

\
ParkwayHealth Hong Qiao Medical Center was the first to provide quality medical care to the expat community in Shanghai and continues to be the clinic of choice for you and your family.","百汇是百汇控股（新加坡）公司旗下成员，是亚洲最大的高档医疗服务上市公司。 在新加坡，百汇拥有伊丽莎白医院, 鹰阁医院和东海岸医院 并计划于2011年建设完成Novena医院。目前集团在亚洲地区共拥有15 家医院，3277 张床位，1500 多名著名医疗专家，开设各种专科。
\

\
旗舰机构包括设在马来西亚、印度尼西亚（开发商）、文莱、印度的医院和医疗中心等。.公司以 Parkway Shenton 为品牌，开设 30 多家高档护理和卫生保健机构，在肿瘤（癌症）、肝脏手术、心血管疾病等诸多领域颇有建树，并开设眼科中心、微创手术中心等专门外科。 此外，百汇旗下20 多家子公司还可通过鹰阁 CRC 提供各种完善的健康保健服务，包括实验室检查、医学成像、临床研究 (CRO) 等。百汇控股已在新加坡股票交易所上市。 
\

\
此外，百汇还在全球经营着 45 家患者援救中心，为全球患者提供优质全面的卫生保健服务。百汇曾多次囊括包括 SuperBrands 和 亚洲医院管理奖在内的国际卫生管理与服务品质大奖。 
\

\
作为亚洲最大的国际健康保健服务商，百汇拥有庞大的网点和 1500 多名医师。在上海，共有 70 多名经验丰富的医师，设有6 处交通方便的服务网点。可为门诊和住院患者提供各种医疗保健服务。网点遍及上海市中心、 浦东、虹桥和新天地。 
\

\
上海瑞祥门诊部是上海第一家为外国人社区提供优质医疗服务，并继续成为您及您的家庭选择的医疗机构。
\

\
上海瑞祥门诊部拥有富有经验的医疗团队之一。 许文奇医师，柯宝博医师和琳妲医师在上海累计行医20多年。他们都受过广泛的培训，富有评估和治疗各个年龄段儿童的经验。三位医师的孩子都在上海生活，成为了挑战这座“国际化城市”保持儿童健康的老手。",,,"021 6445 5999 (en,RDV),021 6445 5999 (zh,URG)","INT (zh),GEN (zh),CHIN (zh),PSYCHO (de),PED (zh),DER (zh),OPH (zh),ORL (nl),POD (de),DER (en),ORL (en),END (zh),DER (hi),DIE (fr),ECHO (zh),POD (zh),CHIN (ja),CHIN (en),PED (ja),PED (en),GEN (hk),GEN (en),END (en),INT (en),GYN (fr),GYN (en),GYN (es),PSYCHO (en),PSYCHO (pt),POD (fr),POD (en),KINE (fr),KINE (en),KINE (pt),KINE (es),OPH (en),CHIROP (en),CHIROP (es),DIE (en),DIE (ar),ECHO (en)",
85,Shanghai Punan Hospital International Medical Center,上海浦东新区浦南医院国际医疗部,"No.519, NanMaTou Road (No.219 Linyi Road), Pudong New Area",上海市浦东新区南码头路519号（临沂路219号）,Shanghai,上海,200120,info@punanhospital.com,http://www.punanhospital.com,31.199023,121.517465,,"The Punan Hospital International Medical Department consists of the entire 17th floor of the Shanghai Punan Hospital.
\

\
Located in Shanghai’s presitigious Pudong District, between the Lujiazui Financial Zone and the Shanghai 2010 World Expo Site, the Shanghai Punan Hospital was constructed in 1983. Almost 1000 staff members in 28 clinical departments and 8 medical departments treat nearly 1 million patients each year, while nearly 10,000 surgeries are performed. The Shanghai Punan Hospital has been named a Model Unit by the Shanghai Health Department.
\

\
Since the opening of the International Medical Department, patients living in China from the United States, Germany, Australia, Canada, Japan, and 179 other countries and regions have received care in our hospital. We are also designated as an official “compatriot” hospital of Taiwan.
\

\
During 2011, 350 inpatients were hospitalized at the International Medical Department of our hospital. During that time, we help 8,660 people who came to spend time with their loved ones. We also helped make arrangements to escort 26 people home. We are highly experienced with health insurance companies worldwide, and we are listed as a formal hospital for more than 40 companies.
\

\
The Shanghai Punan Hospital boasts some of China’s most advanced medical equipment, including : two sets of neurosurgery navigation equipment, multiple surgical microscopes, various neuroendoscopy and stereotactic treatment instruments, digital X-ray imaging, CT, high-end ultrasound, DSA, digital mammography systems, to name just a few.
\

\
In addition, we have been leaders in the creation and implementation of an ultra-modern and comprehensive computer management system which accesses and cross-refernces data stored in the Hospital Information System (HIS), the Administrative Office System (OA), the Medical Image Storage and Transmission System (PACS), the Laboratory Information System (LIS), and allows doctors to access the information via Mobile Workstations. This information is then also made available to the Regional Health Information System, which then makes your data available to medical professionals in other facilities, keeping you safe wherever you go.","上海市浦东新区浦南医院是一所集医疗、教学、科研为一体、科室齐全、设备先进、具有相当技术力 量并已形成多个特色专科的国家公立性二级综合性医院。
\

\
能开展各种妇科、颅脑肿瘤、脑动脉瘤动静畸形及重症颅脑损伤的急救处理。此外医院的肝外科；骨科也各有特色并在浦东地区享有良好的声誉；肝外科为浦东新区重点特色专科，上海市中山，华山等多家三级医院在我院开设了多科专家门诊，医院工作量始终保持在上海市二级综合性医院的前列。",,,"137 6123 8181 (en,RDV),021 5094 5088 (en,RDV)","NEUC (zh),NEUR (zh),URO (zh),ORTHOPEDIE (zh),CHI (zh),GYN (zh),PED (zh),STO (zh),ORL (zh),DER (zh),DER (en),ORL (en),GYN (en),NEUR (en),NEUC (en),ORTHOPEDIE (en),PED (en),STO (en),CHI (en),URO (en)",
86,Amicare Test Hospital,AMICARE 测试医院,"No.3215, HongMei Road",虹梅路3215,Shanghai,上海,201103,info@aeglechina.cn,http://www.aeglechina.cn,31.180587,121.393119,"********** DEMO **********
\
Hôpital de démo.
\
Toutes les informations contenues sont fictives.
\
********** DEMO **********","********** DEMO **********
\
This hospital has been created for demo purpose.
\
All information are fictional.
\
********** DEMO **********","********** 测试 **********
\
这是一个虚构医院做演示之用。仅适用于测试。
\
所有的资料均为虚构。
\
********** 测试 **********",,,"021 6414 8979 (en,STAND),021 6414 8979 (zh,STAND)","CAR (zh),GEN (zh),NEUR (zh),PED (zh),GYN (zh),URO (en),URO (zh),ALL (zh),DER (zh),CHIN (zh),GAS (zh),ALL (fr),ALL (de),CAR (en),DER (en),GEN (en),GEN (fr),GEN (de),GEN (ja),GEN (pt),GEN (es),GAS (en),GYN (nl),GYN (en),GYN (fr),GYN (ja),NEUR (en),OPH (en),OPH (de),URO (ja),PED (en),PSY (ja),CHIN (en),PSY (en),ACC (zh),OST (zh),VAC (zh),ACC (en),ACC (fr),OST (ja),VAC (en),POD (zh),INT (zh)",
87,GHC PuDong Medical & Dental Implant/Aesthetic Center,浦东全康医疗中心,"World Financial Center Shop 212, 100 Century Avenue, Pudong New Area",上海浦东新区世纪大道100号环球金融中心商场212室,Shanghai,上海,200120,info@ghcchina.com,http://www.ghcchina.com/,31.240795,121.514352,,"Global HealthCare (GHC) is a medical &amp; dental center operated by international doctors and dentists from the US, Canada, France, Germany, Hong Kong, and Japan. Specialists are available in Cardiology, Urology, Pediatrics, Pulmonology, Internal Medicine, General Medicine, Psychiatry, Family Dentistry, Clinical Psychology, Nutrition, etc…
\

\
We are dedicated to the health and well-being of the global and local communities and passionately committed to providing the highest quality patient care and services in the prevention, diagnosis and treatment of human illness.
\

\

\
Operating Hours:
\
Mon.-Fri.: 8am-7pm
\
Sat.-Sun.: 9am-5pm","全康医疗由世界知名的医生和仁济医院合作设立，致力于为上海地区的国内外人士提供全面和高质量的国际标准医疗保健和诊断治疗服务。
\

\
我们了解您对健康的需求，在全康，我们有先进的医疗设备，舒适的就医环境和来自世界各国和地区的医疗专家，将会为您提供人性化和安全有效的医疗服务。
\

\
我们相信您会满意我们对细节的注重，我们将会为您创造一个温馨，舒适，安全和私密的就医环境。
\

\
1.我们尊重个人的尊严和个人隐私，我们尊重不同国度和民族的文化和需求。
\

\
2.以开放，诚恳的态度对待我们的客户，依据个人病情提供个性化专业服务。
\

\
3.积极普及医疗知识，增强以预防为主的自我保健意识。
\

\
4.全康医疗致力于环境保护事业。
\

\
5.全康医疗注重国际合作，以专业敬业的精神为人类健康做出贡献。
\
",,,"136 8188 8833 (en,URG),021 6877 5093 (en,RDV)",DENT (zh),
93,Shanghai Tokushinkai Dental Clinic (Hongqiao Branch),上海德真会口腔诊所 虹桥诊所,"3F, Maxdo Center, No.8, Xinyi Road, Hongqiao",长宁区兴义路8号万都中心大厦3楼301室(近仙霞路和遵义路),Shanghai,,201100,reception_hq@tokushinkai.com.cn,http://www.tokushinkai.com.cn/,31.210609,121.411714,,"Shanghai Tokushinkai Dental Clinic was opened in the Rainbow Bridge Development District, Shanghai in Nov. 2002. We provide high-quality health care, treatment and services based on the Tokushinkai's &quot;Six-Benefits for patients&quot;, as indicated in the following.
\

\
1.Safe and Secure Treatments
\
2.Satisfaction of Patients' Dignity
\
3.Comfort
\
4.Convenience
\
5.Fairness and Transparency
\
6.Fair Pricing
\

\
We have a comfortable lobby with a warm hue catering for the various needs of patients. You can enjoy many attractive things there, for example free drinks, the Internet, and various kinds of magazines. The cafe-like atmosphere relives your stress before treatments.
\

\
All the examination rooms are completely private; each of them has a unique theme, Mediterranean or Modern China and so on. They help patients relax and are comfortable.
\

\
In addition to general dentistry, child dentistry, orthodontic dentistry, and implant dentistry, we also provide aesthetic dentistry like whitening, as per your request.
\
Not only Japanese staff, but local staffs who can speak Japanese are working in our clinic. So, if you have any questions please don't hesitate to ask us.","中国德真会(德清会)( Tokushinkai Dental China)1998开始在厦门、上海、苏州等地建立了连锁口腔诊所及技工所，其高品质的医疗技术和服务受到了社会各界和患者的肯定和欢迎。
\

\
虹桥诊所2002-2005连续三年获得长宁区优秀诊所称号。2003-2004获上海市&quot;文明行医、优质服务&quot;先进集体称号；2004年，上海德真会总经理陈裕德先生担任长宁区卫生协会常务理事2006年，陈裕德先生获得了&quot;长宁区优秀中国特色社会主义建设者的&quot;光荣称号。",,,"021 5208 0208 (en,STAND),021 5208 0218 (zh,STAND)","EST (zh),PEDO (zh),PAR (zh),HDON (zh),PRO (zh),DENT (zh)",
95,DDS Dental Pudong Clinic,上海缔浦口腔门诊部,"Room 101-103, The Double Dove Great Tower, No.438, PuDian Road, Pudong New District",浦电路438号 双鸽大厦101-103,Shanghai,,200120,pudong@dds-dental.com,http://dds-dental.com,31.22897,121.539933,,"DDS Dental Care is the leading provider of top quality dental care for Shanghai's international community since 1994.
\

\
We have a complete team of professional dentists, specialist, hygienists, dental technicians and dental assistants, most of us are eduacated and trained in Canada, USA, Australia, UK, France, Israel and Germany, our expatriate dentists and support staff speak several languages which includes English, French, Hebrew, German and Chinese, our goal is to provide the best environment for your dental care in Shanghai.
\

\
We offer 4 state-of-art clinics and own dental lab in convenient locations throughout Shanghai, all of them are fully equipped with the latest facillities.
\

\
We follow the strict guideline for sterilization and operation protocols according to Amercian Dental Association (ADA) and Chinese Stomatological Association (CSA) standards.","上海缔矢—DDS齿科是一为驻沪外籍人士提供北美标准齿科服务的临床医疗机构，该企业集团目前拥有六口腔门诊部，分别座落于淮海中路、浦东新区陆家嘴经济开发区、虹桥经济开发区及虹桥枢纽、青浦区徐泾。主要医务工作人员均留学受训于欧美，加拿大，澳大利亚等地，并具备大学口腔医学院教学资职，同时部分外籍医师及管理人员的加盟，更使得该企业集团的团队管理富有欧美文化之特色。
\

\
诊所以全科齿科治疗为主，同时开展口腔正畸，美容齿科，种植术等专科治疗。数年的不懈努力已赢得了广大驻沪及周边地区外籍人士的信任和支持，目前缔矢DDS齿科已成为驻沪外籍人士首选青睐诊所。",,,"131 6200 1688 (en,URG),021 6876 0409 (zh,RDV)","DENT (zh),DENT (en),DENT (fr),DENT (de)",
119,Alpha Dental Clinic,上海康怡口腔门诊部,"No.1919, Hong Qiao Road, Xijiao Garden Villa (East Wing) Block M, Chang Ning District",长宁区虹桥路1919号西郊花园别墅（东苑）M幢,Shanghai,上海,200336,info@alphadental.cn,http://www.alphadental.cn,31.204144,121.394001,,"Alpha Dental Clinic is the first Singaporean-managed private dental practice and has been dental needs of the foreign community in Shanghai since 2004. We are a subsidiary of Singapore Q&amp;M Dental Group listed in the SGX. Q &amp; M Dental Group has more than 50 clinics strategically located island-wide in Singapore. 
\
Our Specialties are Orthodontics (Teeth straightening), Dental Implants, Oral Surgery, Cosmetic Dentistry. We employ advanced dental technologies such as Digital X-ray machine, CEREC® 3D CAD/CAM and Laser Dentistry. 
\
","康怡口腔是首家新加坡管理的牙科门诊部，自二零零四年为上海的外籍人士提供优质个性化的口腔治疗方案。康怡口腔是新加坡上市公司全民牙科的子公司。全民牙科在新加坡拥有50多家口腔门诊部。
\
我们的特色项目有正畸治疗、种植牙、口腔手术、牙齿美容。 我们采用先进的牙科技术如数码X光机、CEREC CAD/CAM系统还有无痛激光治疗
\
",,,"1391 811 1319 (zh,URG),021 6270 2875 (en,RDV)","DENT (zh),DENT (en)",
121,Pearl International Dental Clinic,圣贝国际牙科医院,"2F, No.1386, Wen Guang Building, Hongqiao Road, Changning",长宁区虹桥路1386号文广大厦2楼(近伊犁南路),Shanghai,上海,200051,kqjksh@163.com,http://www.shsbyk.com,31.203512,121.413344,,"Internationally high-class dental institution---Pearl international dental clinic, is dedicated to serving high class people and social elites. It takes international standard as a benchmark in areas of professional talent, treatment equipment, cutting-edge technology, clinical pathway, service pattern and sterile process.
\

\
Pearl dental clinic imported implant systems, targeted intangible orthodontic systems, 3D precise porcelain cosmetic restoration systems, whitening systems, beam CT and ZEISS digital microscope systems, which have passed international JCI accreditation. Pearl has tens of foreign experts with international clinical experience, as well as dental expert from Shanghai No.9 Hospital.
\

\
At present, Pearl dental clinic has opened large-scale and high-class dental chains in Beijing, Shanghai, Guangzhou, Chengdu, Xi’an and Jinan. Pearl’s landing to Shanghai is an important step to make Pearl international dental chain medical institutions spreading across Chinese mainland and to realize the ‘two hundred’ strategy---100 overseas branches and one hundred domestic branches. 
\

\
The international and professional Pearl with high quality, powerful information and great reputation will bring you noble and comfortable dental treatment experience.
\
","上海圣贝牙科医院是国际牙科品牌圣贝牙科旗下的连锁牙科医院，是一所集牙齿正畸、牙齿美容、牙齿修复、牙齿种植、儿童牙科、口腔基础治疗为一体的现代化专业口腔医院，其占地面积3300 平米，拥有23间诊疗室，治疗牙椅24把。为在牙科诊治中做到&quot;专业、专注、专攻&quot;，全院设立有牙齿正畸、牙齿种植、牙齿美容、牙齿修复、儿童牙科五大诊疗中心外，并另设立设放射室、注射室、无菌室、消毒供应室、品供应室及技工室等辅助科室。
\

\
上海圣贝牙科医院作为圣贝国际牙科旗下连锁医院， 获得了圣贝牙科先进的医疗技术、人才设备的支持，并在采用圣贝国际牙科的医疗质量管理体系管理的同时，也实现了牙科医疗服务的&quot;本土化&quot;。为实现不同患者的需求，医院实现全年午休制度与特需医疗服务。在专家上，医院除了圣贝飞行牙医团队外，还聘请了来自九院的王申医生、来自华西的张培志医生、葡萄牙的桑德罗医生等等多名常驻门诊专家。
\

\
圣贝牙科品牌起源于1921年德国，并于2007年入驻中国，与国内多家医院开展口腔治疗合作，又于2011年在中国启动自主品牌圣贝牙科，并先后在北京、成都、济南、西安、广州等地开设了专业口腔医院，上海圣贝牙科医院，是圣贝牙科在中国开设的第八家牙科医院。",,,"021 5021 3999 (en,RDV),021 5021 3999 (zh,STAND)","DENT (zh),DENT (en),EST (zh),HDON (zh),PRO (zh),PEDO (zh),PAR (zh)",
