operation,ID,verdor_id,name,official_name,OFFICIAL_WEBSITE,phone,DISTRICT,address,post_code,h_class,avg_waiting_time,avg_rating,created_at,uppdated_at,latitude,longitude,city,parent_id
√,1,H00000985,红房子医院(黄浦院区),复旦大学附属妇产科医院(黄浦院区),http://fckyy.fudan.edu.cn,021 33189900,黄浦区,大林路358号,200011,三级甲等,24,4.15,2013-11-29 下午06:59:23,2013-12-12 上午09:42:35,31.214251,121.482978,上海市,
√,3,H00000986,中国福利会国际和平妇幼保健院,"中国福利会国际和平妇幼保健院
(上海交通大学医学院附属国际和平妇幼保健院)",http://www.ipmch.com.cn,021 64070434,徐汇区,衡山路910号(华山路1961号),200030,三级甲等,28,4.39,2013-11-29 下午06:59:24,2013-12-12 上午09:42:34,31.196461,121.438007,上海市,
√,5,H00000987,,上海市精神卫生中心(徐汇院区),http://www.smhc.org.cn,021 64387250,徐汇区,宛平南路600号,200030,三级甲等,6,4.32,2013-11-29 下午06:59:25,2013-12-12 上午09:42:35,31.187697,121.44933,上海市,
√,6,H00000988,上海胸科医院,上海交通大学附属胸科医院,http://www.shxkyy.com,021 22200000,徐汇区,淮海西路241号,200030,三级甲等,12,4.63,2013-11-29 下午06:59:26,2013-12-12 上午09:42:35,31.198133,121.425646,上海市,
√,7,H00000989,上海五官科医院,复旦大学附属眼耳鼻喉科医院,http://www.fdeent.org,021 64377134,徐汇区,汾阳路83号,200031,三级甲等,40,4.44,2013-11-29 下午06:59:26,2013-12-12 上午09:42:34,31.209814,121.453218,上海市,
√,9,H00000990,上海市肿瘤医院,复旦大学附属肿瘤医院,http://www.shca.org.cn,021 64175590,徐汇区,东安路270号,200032,三级甲等,39,4.42,2013-11-29 下午06:59:27,2013-12-12 上午09:42:35,31.191749,121.454281,上海市,
√,11,H00000991,上海市第一妇婴保健院(西院),同济大学附属第一妇婴保健院(西院),http://www.51mch.com,021 54035206,静安区,长乐路536号(近陕西南路),200040,三级甲等,21,4.03,2013-11-29 下午06:59:27,2013-12-19 上午03:46:46,31.220036,121.456574,上海市,
√,13,H00000992,,上海市儿童医院,http://www.shchildren.com.cn,021 62474880-82117,静安区,北京西路1400弄24号,200040,三级甲等,22,4.63,2013-11-29 下午06:59:28,2013-12-12 上午09:42:35,31.2280475,121.4489351,上海市,
√,14,H00000993,,上海市眼病防治中心,http://www.shsyf.com,021 62717733,静安区,康定路380号,200040,三级未评,,0,2013-11-29 下午06:59:28,2013-12-12 上午09:42:35,31.234771,121.448764,上海市,
√,16,H00000994,,上海市皮肤病医院(闸北路门诊住院部),http://www.shskin.com,021 61833100,闸北区,保德路1278号,200050,三级甲等,27,4.82,2013-11-29 下午06:59:29,2013-12-12 上午09:42:35,31.213334,121.426665,上海市,
√,17,H00000996,同济口腔医院,同济大学附属口腔医院,http://www.tongjikouqiang.com,021 66315500,闸北区,延长中路399号,200072,三级未评,6,4.82,2013-11-29 下午06:59:29,2013-12-12 上午09:42:35,31.270511,121.45291,上海市,
√,18,H00000997,上海市公共卫生临床中心(金山本部),复旦大学附属公共卫生临床中心(金山本部),http://www.shaphc.org,021 37990333,金山区,漕廊公路2901号,201508,三级甲等,,0,2013-11-29 下午06:59:30,2013-12-12 上午09:42:36,30.791935,121.341463,上海市,
√,20,H00000998,上海儿童医学中心,上海交通大学医学院附属上海市儿童医学中心,http://www.scmc.com.cn,021 38626161,浦东新区,东方路1678号,200127,三级甲等,90,4,2013-11-29 下午06:59:30,2013-12-12 上午09:42:36,31.204598,121.523117,上海市,
√,22,H00000999,上海市肺科医院,同济大学附属上海市肺科医院,http://www.shsfkyy.com,021 65115006,杨浦区,政民路507号,200433,三级甲等,38,4.17,2013-11-29 下午06:59:31,2013-12-12 上午09:42:36,31.301283,121.502759,上海市,
√,23,H00001001,东方肝胆医院,中国人民解放军第二军医大学第三附属医院,http://www.ehbh.cn,021 65564166,杨浦区,长海路225号,200438,三级甲等,13,4.82,2013-11-29 下午06:59:32,2013-12-19 上午03:46:46,31.310206,121.529098,上海市,
√,25,H00001002,上海儿科医院,复旦大学附属儿科医院,http://ch.shmu.edu.cn,021 64931990,闵行区,万源路399号,201102,三级甲等,53,4.67,2013-11-29 下午06:59:32,2013-12-12 上午09:42:35,31.140367,121.3961,上海市,
√,26,H00001003,,上海伽玛医院,http://www.shgkh.com,021 64385336,徐汇区,吴中东路518号(近中山西路口),200235,三级甲等,32,4.67,2013-11-29 下午06:59:33,2013-12-12 上午09:42:36,31.189668,121.422333,上海市,
√,27,H00001006,上海仁济医院(西院),上海交通大学医学院附属仁济医院(西院),http://www.renji.com,021 63260930,黄浦区,山东中路145号,200001,三级甲等,18,4.86,2013-11-29 下午06:59:33,2013-12-12 上午09:42:36,31.233634,121.484601,上海市,
√,34,H00001007,上海长征医院,中国人民解放军第二军医大学第二附属医院,http://www.shczyy.com,021 63586818,黄浦区,凤阳路415号,200003,三级甲等,25,4.46,2013-11-29 下午06:59:36,2013-12-12 上午09:42:35,31.232799,121.467216,上海市,
