id,nom,nom_zh,adresse,adresse_zh,ville,ville_zh,cp,mail,website,latitude,longitude,descr_fr,descr_en,descr_zh,descr_ja,descr_de,enum( tel (lang,type )),enum( spe (lang))
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
42,GHC PuXi Medical & Dental Center,浦西全康医疗中心,"No.1788, NanJing West Road, Jing An District",静安区南京西路1788号1788国际中心303室 ,Shanghai,上海,200040,claims@ghcchina.com,http://www.ghcchina.com,31.228637,121.450389,,"We are healthcare professionals dedicated to the health and well-being of the global and local communities where we are located and we are passionately committed to providing the highest quality patient care and service in the prevention, diagnosis and treatment of human illness.
\

\
We know that when you choose your healthcare provider, you want to be assured that you will receive caring service of uncompromised international standards with state-of-the-art equipment in a very personalized manner.
\

\
We value you as a patient. We realize your time is important, so we think you will appreciate our attention to details, which are designed with patient comfort, privacy, convenience and safety in mind.","上海全康医疗中心是由来自美国、加拿大、法国、德国、香港和日本的医学专家共同运营的医疗和牙科中心。专科包括了心脏科、泌尿科、儿科、肺科、内科、普通内科、精神科、普通牙科等等。
\

\
全康始终致力于为上海地区的国内外人士提供全面和高质量的国际标准医疗保健、诊断和治疗服务。
\
",,,"136 7195 5332 (ja,STAND),136 8188 8833 (en,URG),021 5298 6339 (zh,RDV)","CHIN (hk),CHIN (zh),DENT (zh),DENT (en),DENT (fr),CAR (hk),CAR (en),URO (zh),URO (en),PED (ja),OPH (zh),PSY (zh),RAD (zh)",
43,Shanghai United Family Hospital-Puxi Main Hospital,上海和睦家医院-浦西,"No.1139, Xianxia Road, Changning District",上海市长宁区仙霞路1139号 ,Shanghai,上海,200336,shuptservice@ufh.com.cn,http://shanghai.ufh.com.cn,31.213916,121.382775,,"Shanghai United Family Hospital (SHU), a joint venture between Chindex International, Inc. (NASDAQ: CHDX) and the Shanghai Changning Central Hospital, is a member of the United Family Healthcare (UFH) network. Opening its doors on December 1, 2004, the hospital’s sole mission is to provide comprehensive, integrated healthcare services in a uniquely warm and caring patient and family service-oriented environment.
\
 
\
SHU is a purpose-built, full-service, JCI accredited facility that offers highly-qualified medical staff from around the world and direct billing to over 30 global insurance companies. As a full service hospital, SHU has a 24-hour emergency room, inpatient and outpatient care, state-of-the-art operating theatres and 24-hour in-house pediatric, radiology, pharmacy and laboratory services. 
\

\
The international staff of senior physicians and local specialists at SHU are selected based not only on the excellence of their training and professional expertise, but also on their compassion, empathy and a genuine interest in working in a multi-cultural environment. In addition to the highly qualified medical team, SHU also has excellent working relationships with medical professors and consultants at the local teaching hospitals and medical facilities around Asia.
\
 
\
Shanghai United Family is your trusted healthcare partner!
\
","上海和睦家医院(SHU)是纳斯达克上市公司美国Chindex集团（股票代码：CHDX）和上海长宁区中心医院共同组建的合资医院，于2004年12月1日开始营业。上海和睦家医院的宗旨是：在家庭般温馨舒适的就诊环境里，为患者提供独特的、全方位的医疗服务。
\
 
\
上海和睦家医院具有自己特定的建院目的，是一家获得JCI国际认证的综合性医院，拥有来自全球的高水平医务人员，同时可与全球40多家保险公司直接结算。上海和睦家医院设有24小时开放的急诊室，可为患者提供门诊和住院服务，医院还配备了一流的手术室、放射科、药房和化验室。
\
 
\
上海和睦家医院在选择具有国际背景的高级医生和本土专家时，不仅考察其培训经历和专业知识是否卓越，还要考察他们的同情心、同理心以及是否真正有兴趣在多元文化环境中工作。除了具有高水平的医疗团队外，上海和睦家医院还与来自地方教学医院及亚洲地区医疗机构的医学教授和顾问建立了良好的工作关系。
\

\
上海和睦家医院可为您提供的住院及门诊服务项目包括：重症急救和急诊科、口腔科、皮肤科、耳鼻喉科、内窥镜室、眼科、心理咨询科、家庭全科、内科、化验科、妇产科、儿科、药房、理疗和康复科、骨科及运动医学科、放射科、外科、中医科。
\

\
上海和睦家医院是值得您信赖的健康伙伴！","上海ユナイテッドファミリー病院（SHU）はユナイテッドファミリー医療グループの一施設であり、シンデックス・インターナショナル(NASDAQ: CHDX)と上海長寧区中心病院の合弁企業として設立されました。2004年12月1日に開業し、温かみのある家庭的な環境の中で総合的な医療サービスを提供することを唯一の使命としています。
\
 
\
SHUはJCI（国際医療施設認定合同機構）の認証を受けた、フルサービスを提供する医療施設であり、高い訓練を受けた世界各国の医療スタッフが常駐し、30以上の保険会社のキャッシュレス・サービスが受けられます。SHUは24時間対応の救急センター、入院と外来診療、最先端の手術室を設置しており、小児科当直、放射線科、薬局、検査室（ラボ）は24時間サービスをしています。
\
 
\
当院の世界各国からのベテラン医師や現地の専門医は、卓越した教育や専門知識を持つだけでなく人格者であり、多文化の環境下で働くことを喜びとしています。当院は高水準の医療チームを有していることに加え、現地や周辺アジアの大学病院の教授や顧問との良好な協力関係を築いています。
\
 
\
上海ユナイテッドファミリー病院は、信頼できるあなたの医療パートナーです。
\
",,"021 2216 3999 (zh,URG),400 639 3900 (zh,RDV),021 2216 3900  (zh,STAND)","DER (zh),DENT (zh),ANE (zh),CHIN (zh),GEN (zh),GYN (zh),INT (zh),OPH (zh),ORL (zh),ORTHOPEDIE (zh),GEN (en),GEN (fr),PSYCHO (zh),PED (zh),REHAB (zh),CHIRPL (zh),RAD (zh),CHI (zh),PED (en),PED (fr),PED (hk)",
44,ParkwayHealth Hong Qiao Medical Center,百汇医疗上海瑞祥门诊部,"No.2258 ,Hong Qiao Road",上海虹桥路2258号,Shanghai,上海,200336,stephanie.wang@parkwayhealth.cn,http://www.parkwayhealth.cn,31.198686,121.384983,,"With a need for people in worldwide to access top quality international healthcare, Singapore Parkway Holdings Limited, the largest private medical group in Asia opened its first medical and surgical center in Shanghai in 2005. ParkwayHeath China currently operates the largest network of 8 medical centers in Shanghai, and 1 state of the art international clinic in Chengdu.
\

\
With a combination of more than 80 expatriate and local physicians, we are capable to provide over 30 specialties, including birthing and inpatient services in more than 20 languages. This leaves you free to enjoy your life, safe in the knowledge that should you need medical assistance, ParkwayHealth is here to provide with you services that you can depend on.
\

\
ParkwayHealth Hong Qiao Medical Center was the first to provide quality medical care to the expat community in Shanghai and continues to be the clinic of choice for you and your family.","百汇是百汇控股（新加坡）公司旗下成员，是亚洲最大的高档医疗服务上市公司。 在新加坡，百汇拥有伊丽莎白医院, 鹰阁医院和东海岸医院 并计划于2011年建设完成Novena医院。目前集团在亚洲地区共拥有15 家医院，3277 张床位，1500 多名著名医疗专家，开设各种专科。
\
 
\
旗舰机构包括设在马来西亚、印度尼西亚（开发商）、文莱、印度的医院和医疗中心等。.公司以 Parkway Shenton 为品牌，开设 30 多家高档护理和卫生保健机构，在肿瘤（癌症）、肝脏手术、心血管疾病等诸多领域颇有建树，并开设眼科中心、微创手术中心等专门外科。 此外，百汇旗下20 多家子公司还可通过鹰阁 CRC 提供各种完善的健康保健服务，包括实验室检查、医学成像、临床研究 (CRO) 等。百汇控股已在新加坡股票交易所上市。 
\

\
此外，百汇还在全球经营着 45 家患者援救中心，为全球患者提供优质全面的卫生保健服务。百汇曾多次囊括包括 SuperBrands 和 亚洲医院管理奖在内的国际卫生管理与服务品质大奖。 
\

\
作为亚洲最大的国际健康保健服务商，百汇拥有庞大的网点和 1500 多名医师。在上海，共有 70 多名经验丰富的医师，设有6 处交通方便的服务网点。可为门诊和住院患者提供各种医疗保健服务。网点遍及上海市中心、 浦东、虹桥和新天地。 
\

\
上海瑞祥门诊部是上海第一家为外国人社区提供优质医疗服务，并继续成为您及您的家庭选择的医疗机构。
\

\
上海瑞祥门诊部拥有富有经验的医疗团队之一。 许文奇医师，柯宝博医师和琳妲医师在上海累计行医20多年。他们都受过广泛的培训，富有评估和治疗各个年龄段儿童的经验。三位医师的孩子都在上海生活，成为了挑战这座“国际化城市”保持儿童健康的老手。 ",,,"021 6445 5999 (en,RDV),021 6445 5999 (zh,URG)","INT (zh),GEN (zh),CHIN (zh),PSYCHO (de),PED (zh),DER (zh),OPH (zh),ORL (nl),POD (de),DER (en),ORL (en),END (zh),DER (hi),DIE (fr),ECHO (zh),POD (zh),CHIN (ja),CHIN (en),PED (ja),PED (en),GEN (hk),GEN (en),END (en),INT (en),GYN (fr),GYN (en),GYN (es),PSYCHO (en),PSYCHO (pt),POD (fr),POD (en),KINE (fr),KINE (en),KINE (pt),KINE (es),OPH (en),CHIROP (en),CHIROP (es),DIE (en),DIE (ar),ECHO (en)",
73,Shanghai East Hospital South Campus,上海市东方医院（同济大学附属东方医院）南院,"No.1800, Yuntai road, Pudong District",上海市浦东新区云台路1800号,Shanghai ,上海,200120,xiaofengshao@gmail.com,http://www.easthospital.cn,31.154058,121.520411,,"Shanghai East Hospital (Tongji University affiliated East Hospital) was founded in 1920, is a modern 3A general hospital which combined of medical, teaching and research in one of. The hospital has a superio geographical position located in the north and south, respectively located in Shanghai Lujiazui Finance and Trade Zone and the Expo area. It's construction area reached 250 000 square meters.
\

\
Shanghai East Hospital has 51 clinical, medical departments and open beds 2200, and has a large number of medical team of experts with deep knowledge, 230 senior professional titels, 119 doctorates, 252 master's degress in personnel, 38 doctoral tutor and 81 master instructors. More than 200 of these experts selected or got national candidates of Countries Hundred Talents Project, The program for Changjiang Scholars, The national Getzing Youth Foundation, Ministry of Education New Century Excellent Talents and Shanghai leading talent program etc.
\

\
We have 9 key specialist of the nation and Shanghai city and with higher levels in the areas of heart failure, emergency trauma, cardiac surgery, oral implant rehabilitation, cardiology, minimally invasive surgery, orthopedics, comprehensive cancer treatment etc. We also undertake the education for  three clinical department of Tongji University's nudergraduates, masters and doctoral and post-doctoral, and as a training base for chief physician's standardization in Shanghai. We have arrhythmia Key Laboratory of the Ministry of Education, the Ministry of Health endoscopic technique training bases, National Center for Cardiovascular Disease technology exchange shanghai base, the Ministry of Health Hepatobiliary and Enteric Surgery Research Center, Shanghai Institute of gallbladder disease, translational medical research public platform of Pudong New Area,Tongji University Institute of Traumatology Institute of organ Transplantation, Tongji University Medicine Center for Cardiovascular Disease, Sino-German heart Institute, Sino-French pathophysiology laboratory and other research institutions. We assume 600 various research projects such as the National 973 Program, 863 Program, the National Science and Technology Support Program, the National Natural Science Foundation etc. The hospital has International advanced large-scale medical equipment like Hyun-speed dual-source CT, 3.0T magnetic resonance, ultra-high-speed electromagnetic waves cancer therapeutic instrument, large tablet DSA, assisted circulation system anetc.
\

\
Since 2000, Shanghai East Hospital bear the first Medicare for major international conferences which held in Shanghai, for example the World Expo and other major events , and the medicare for international dignitaries like Bush, Obama, Sarkozy, Medvedev, Samaranch during theri stay. We also carry out the targeted aid work to regional Hospital of Yulin, Shaanxi, Xinjiang's Ili, Chongqing Wanzhou, Chuxiong of Yunnan, Xi NIng of Qinghai and Xinjiang Shache etc.
\

\
Our spirit is &quot;learning to illness, with good virtue, realistic and innovative, share in trouble&quot; and we are make arduous efforts for creating a boutique hospital of public welfare, academic, internationalization.","上海市东方医院（同济大学附属东方医院）始建于1920年，是一所集医疗、教学和科研于一体的现代化三级甲等综合性医院。医院南北两址，分别位于上海陆家嘴金融贸易区和世博园区，建筑面积25万平方米，地理位置优越。
\

\
　　医院设51个临床、医技科室，开放床位2200 张。医院拥有一大批造诣深厚的医学专家队伍，高级职称人员230 名，具有博士学位人员119人、硕士学位人员252人，博士生导师38 名、硕士生导师81 名，专家队伍中有200 余人次入选或获得国家百千万人才工程国家级人选、教育部长江学者、国家杰青青年基金、教育部新世纪优秀人才、上海市领军人才计划等各级人才计划。
\

\
　　医院有国家、上海市重点专科、特色专科9个，在心力衰竭、急诊创伤、心脏外科、口腔种植修复、心血管内科、微创外科、骨科、肿瘤综合诊治等学科领域具有较高水平。医院承担同济大学临床三系本科、硕士、博士、博士后教育，是上海市住院医师规范化培训基地。医院建有心律失常教育部重点实验室、卫生部内镜技术培训基地、国家心血管病中心上海技术交流基地、卫生部肝胆肠外科研究中心上海胆囊疾病研究所、浦东新区转化医学研究公共平台、同济大学创伤医学研究所、同济大学器官移植研究所、同济大学医学院心血管病中心、中德心脏研究所、中法病理生理学实验室等科研机构。承担国家973计划、863计划、国家科技支撑计划、国家自然科学基金等各类科研课题600 余项。医院拥有炫速双源CT、3.0T 核磁共振、超高速电磁波肿瘤治疗仪、大平板DSA、辅助循环系统等国际先进的大型医疗设备。
\

\
　　自2000 年以来，东方医院承担了在上海举办的各项重大国际会议、世博会、重大赛事的第一医疗保障，以及布什、奥巴马、萨科奇、梅德韦杰夫、萨马兰奇等国际政要访沪期间的医疗保障。先后对陕西榆林、新疆伊犁、重庆万州、云南楚雄、青海西宁、新疆莎车等地区医院开展对口支援工作。
\

\
　　本着“学以去疾、德以扬善，求实创新，同舟共济”的院训，东方医院正为创建公益性、学术型、国际化的精品医院而努力奋斗。",,,"021-38804518-21157 (fr,STAND),15312996085 (fr,RDV)","PSYCHO (zh),RAD (zh),CHIN (zh),ALL (zh),URO (zh),REHAB (zh),ONC (zh),OPH (zh),ORTHOPEDIE (zh),DIE (zh),NEUR (zh),URG (zh),DENT (zh),ORL (zh),CHIN (en),REHAB (en),INT (zh),PSYCHO (en),URG (en),RAD (en),SPO (zh),DENT (en),ORTHOPEDIE (ja),ORTHOPEDIE (en),NEUR (en),ORL (ja),ORL (en),ALL (en),DIE (en),URO (en),URO (fr),SPO (en),ONC (en),CAR (zh),OPH (en),GYN (zh)",
81,Healthway Nobel Eye and ENT Hospital (Healthway Medical Group),上海诺美尔眼耳鼻喉科医院,"No.371, Xin Zha Road (Corner of Xin Chang Road), Huang Pu District",黄浦区新闸路371号,Shanghai,上海,200000,billing_nobel@healthwaychina.com,http://www.healthwaymedical.com/,31.245215,121.473287,,"We are cooperating with many leading international insurance companies all over the world, such as Aetna, Allianz, BUPA, EURO-ALARM, GOODHEALTH, MSH, HTH worldwide, RSA, Vanbreda and Cigna.","诺美尔眼耳鼻喉科医院是以管理服务输出的模式一体化理念，并与国际医疗服务接轨的新型专业医院。立足于规范管理、品牌第一、精湛的医疗技术、极具人性化的服务理念、合理的价位。
\

\
医院营业面积2000余平米，眼科采用目前最安全有效的美国第四代VISX准分子激光治疗设备及前导波高阶象差等系统，专业从事屈光不正治疗、美式21步骤验光配镜、低视力矫正﹑小儿斜弱视治疗及白内障超声乳化等。
\

\
医师拥有超过20000次的手术案例经验，并与台湾诺贝尔眼科及日本蓝美眼科有长期的医术交流，更有日本华裔资深眼科博士、台湾眼科专家座诊，为您提供最放心最优质的服务。诺美尔眼口腔科及耳鼻喉科采用全景X光片机（Technic），美国Beyond冷光美白仪，芬兰PLANMECAX光牙片机，意大利恺撒顶级名牌综合牙椅治疗仪，低温消融等离子体手术系统，鼻内窥镜，纤维喉镜，电脑控制无痛口腔局麻仪等，为广大的患者提供了优质、高效、领先的医疗服务。",,,"021 5030 1699 (en,RDV),021 6359 1082 (zh,STAND),021 6359 1166  (en,RDV)","PHA (zh),DENT (zh),ORL (zh),GEN (zh),DENT (en),ORL (en),GEN (en),OPH (zh),PHA (en)",
82,"The Fifth People’s Hospital of Shanghai, Fudan Univeristy",复旦大学上海市第五人民医院,"No. 801, He Qing Road (No. 128, Rui Li Road), Minhang district",上海市闵行区瑞丽路128号,Shanghai,上海,201100,,http://www.5thhospital.com,31.012029,121.415042,,,"上海市第五人民医院创建于1904年，为工部局所建的“西人隔离医院”。1939年由日本同仁会接办，改称“同仁会医院”。1945年收归国有，定名为“上海市市立第五医院”，1949年上海解放，更名为“上海市市立第五人民医院”。1960年迁至闵行，一度又称“上海市闵行区中心医院”、“上海市工农医院”，1984年经批准恢复“上海市第五人民医院”院名。1995年原闵行区传染病医院并入。1998年闵行区人民政府和原上海医科大学联手共建市五医院，随着原上海医科大学与复旦大学合并为新的复旦大学，现医院又称“复旦大学附属上海市第五人民医院”，为二级甲等非营利性公立医院。 
\

\
上海市第五人民医院目前占地5.81公顷（约90亩），建筑面积6万平方米。医院核定床位584张，开放床位800张，年门急诊量超过70万人次，年住院病人超过1.4万人次，住院病人手术超过6,000例次；现有职工1,000余人，专业技术人员900余人，其中高级职称百人，硕博士46人。医院现拥有上海市百人计划1名，上海市曙光学者1名，上海市医苑新星1名，上海市区县百人计划4名，闵行区卫生系统学科带头人14名；有6人享受国务院特殊津贴；4位专家列入上海领军人才“后备队”（闵行领军人才）培养计划。
\

\
上海市第五人民医院作为复旦大学附属医院和蚌埠医学院、皖南医学院教学医院，医院每年承担五所院校临床、公卫等七个专业200余人的教学任务，拥有授课教授和兼职教授60余人。医院每年发表学术论文约200篇，约1/3在国内核心和权威期刊上发表，部分在国外期刊中发表，也有一些有IF、SEI、SCI指数的文章。上海市第五人民医院现有万元以上设备600余件，拥有重症监护（ICU、CCU），全国一流的高压氧舱、MRI、16层CT、ECT、DSA、800MA的大型X光机、数字胃肠机、C臂介入X光机、全身及脑部彩色超声诊断仪、血液透析、腹腔镜、关节镜、电子内镜系统、碎石机、全自动生化分析仪、超声乳化仪、玻璃体切割器、眼科电脑视野仪、多种激光治疗仪等大型医疗仪器设备，直线加速器也正在配置中。医院资产总值达3.5亿元，其中设备总值8000余万元。医院现能开展全膀胱切除-原位新膀胱术、腹腔镜胆囊切除、肾囊肿切除术及腹腔镜手术治疗宫外孕、人工心脏起搏器安装、心脏间隔缺损封堵术、射频消融术、冠脉造影及安置支架、人工晶体植入、喉再造等难度高、技术新的手术。良好的医疗环境，优质的医疗服务使群众对医院满意率达到94%，医院连续五次被评为上海市文明单位。
\

\
上海市第五人民医院从建院之初的8个临床科室，150张床位的条件下，努力发展学科建设，陆续开设了绝大部分二级和三级学科，迄今已基本齐全。设有内科（分设呼吸、心血管、消化、肾脏、神经、内分泌、血液、感染与风湿病等分科）、普外科、胸外科、神经外科、泌尿外科、妇产科、儿科、骨科、中医科、老年科、肿瘤科、传染科、急诊科、麻醉科、眼科、耳鼻喉科、口腔科、皮肤科、保健科、职业病科、高压氧科、理疗科、检验科、核医学科、放射科（含放射介入和放射治疗科）、药剂科、超声医学科、病理科、营养科等37个专业科室。其中泌尿外科和中医支气管炎专科是上海市医学特色专科；眼科、耳鼻喉科、病理科、儿科新生儿专业、心内科、呼吸科和骨科是闵行区医学特色专科；高压氧舱治疗为国家级和上海市继续教育项目。各科室积极开展新技术、新项目，有较好的抢救重危病人水平。",,,"021 6430 8151 (zh,STAND),021 2428 9000 (zh,RDV)",GEN (zh),
84,Shanghai Healthway Medical Centre(JinQiao),上海威瑞门诊部,"No.1228, BiYun Road, Pudong New Area",上海市碧云路1228号,Shanghai,上海,200120,corporate.sales@healthwaymedical.com, 	http://www.healthwaymedical.com/china-healthway,31.24918,121.596506,,"Healthway Medical Group is quickly expanding in Shanghai, China. Our four established facilities in Shanghai, China: Healthway Medical Centre(JiaoQiao), NeuGlow Medical Centre, Healthway Nobel Hospital and Healthway Dental Centre, are all located in convenient and central areas.
\

\
 We offer a wide range of medical services, including Family Medicine, Dentistry, Health Screening, ENT, TCM and Ophthalmology.
\

\
 Most of our doctors are educated abroad and are highly qualified within their own fields. They are able to communicate in multiple languages. We also adopt advanced medical technology in our hospitals.
\

\
 We offer a competitive price to our patients. And for corporate clients, a generous corporate rate and a consolidated billing system are adopted. This allows the employees to have a cashless visit to our doctors with the presence of a Healthway Medical Card or the Staff Pass of the company. Also, a monthly consolidated invoice will be submitted to the employer with the breakdown of the medical expenditures of each staff.
\

\
 In addition, we are cooperating with many leading international insurance companies all over the world, such as Aetna, Allianz, BUPA, EURO-ALARM, GOODHEALTH, MSH, HTH worldwide, RSA, Vanbreda and Cigna.","上海威瑞门诊部隶属于新加坡康威医疗集团，位于上海浦东新区碧云路1228号。门诊部地处碧云社区与金桥开发区交界处，是一家提供家庭医疗、内科、妇科、中医科和口腔科服务的综合性医疗及口腔科门部。依托由来自中国、日本、新加坡和菲律宾的高水准医疗和牙科医生成员组成的国际化团队，为我们的患者提供优质的医疗服务。主要特色为全科医疗，健康评估，中医治疗与理疗，妇科检查，烤瓷牙、矫正牙、种植牙等。
\
 
\
上海威瑞（金桥）涉外医疗中心是康威中国在大中华地区建立的第一家以高端全科、牙科服务为特色的国际化综合性医疗诊所。以新加坡最顶尖私家医疗服务为标准，旨在为上海的外籍人士及有需求的人群提供全方位的高品质的医疗服务。诊所位于浦东金桥碧云社区，靠近数个国际学校及社区，交通便捷，就诊便利。
\
 
\
上海威瑞门诊部凭借康威中国强大的医疗资源和领先的医疗技术，已设有全科、牙科、中医科、体检、化验科和医学影像科。并汇聚了来自多欧美、日韩、港澳台，东南亚的外籍全科及口腔科专家，能熟练运用多国及地方性语言，可为每一位有需求的病人提供一对一的针对性医疗服务。
\
 
\
上海威瑞（金桥）涉外医疗中心融贯中西，海纳百川，秉承康威中国一直以来务实求精的服务理念，以营造温馨舒适的就医环境、追求卓越的医疗品质，提供优质的医疗服务为己任，为更多的患者提供全面的医疗保健及牙科美容服务。
\
 
\
服务项目：
\
 
\
家庭医疗、成人和儿童的全科医疗及内科药物、妇科、健康普查、中医、牙科服务、门诊药房与合资药物、放射科服务，包括X片摄线和B超、化验服务。",,,"021-50301699 (zh,RDV),021-50301699 (en,RDV)","RAD (zh),GEN (zh),DENT (zh),ORL (zh),OPH (zh),CHIN (zh),DENT (en),ORL (en),GEN (en),OPH (en),RAD (en),CHIN (en)",
85,Shanghai Punan Hospital International Medical Center,上海浦东新区浦南医院国际医疗部,"No.519, NanMaTou Road (No.219 Linyi Road), Pudong New Area",上海市浦东新区南码头路519号（临沂路219号）,Shanghai,上海,200120,info@punanhospital.com,http://www.punanhospital.com,31.199023,121.517465,,"The Punan Hospital International Medical Department consists of the entire 17th floor of the Shanghai Punan Hospital.
\

\
Located in Shanghai’s presitigious Pudong District, between the Lujiazui Financial Zone and the Shanghai 2010 World Expo Site, the Shanghai Punan Hospital was constructed in 1983. Almost 1000 staff members in 28 clinical departments and 8 medical departments treat nearly 1 million patients each year, while nearly 10,000 surgeries are performed. The Shanghai Punan Hospital has been named a Model Unit by the Shanghai Health Department.
\

\
Since the opening of the International Medical Department, patients living in China from the United States, Germany, Australia, Canada, Japan, and 179 other countries and regions have received care in our hospital. We are also designated as an official “compatriot” hospital of Taiwan.
\

\
During 2011, 350 inpatients were hospitalized at the International Medical Department of our hospital. During that time, we help 8,660 people who came to spend time with their loved ones. We also helped make arrangements to escort 26 people home. We are highly experienced with health insurance companies worldwide, and we are listed as a formal hospital for more than 40 companies.
\

\
The Shanghai Punan Hospital boasts some of China’s most advanced medical equipment, including : two sets of neurosurgery navigation equipment, multiple surgical microscopes, various neuroendoscopy and stereotactic treatment instruments, digital X-ray imaging, CT, high-end ultrasound, DSA, digital mammography systems, to name just a few.
\

\
In addition, we have been leaders in the creation and implementation of an ultra-modern and comprehensive computer management system which accesses and cross-refernces data stored in the Hospital Information System (HIS), the Administrative Office System (OA), the Medical Image Storage and Transmission System (PACS), the Laboratory Information System (LIS), and allows doctors to access the information via Mobile Workstations. This information is then also made available to the Regional Health Information System, which then makes your data available to medical professionals in other facilities, keeping you safe wherever you go.","上海市浦东新区浦南医院是一所集医疗、教学、科研为一体、科室齐全、设备先进、具有相当技术力 量并已形成多个特色专科的国家公立性二级综合性医院。
\

\
能开展各种妇科、颅脑肿瘤、脑动脉瘤动静畸形及重症颅脑损伤的急救处理。此外医院的肝外科；骨科也各有特色并在浦东地区享有良好的声誉；肝外科为浦东新区重点特色专科，上海市中山，华山等多家三级医院在我院开设了多科专家门诊，医院工作量始终保持在上海市二级综合性医院的前列。",,,"137 6123 8181 (en,RDV),021 5094 5088 (en,RDV)","NEUC (zh),NEUR (zh),URO (zh),ORTHOPEDIE (zh),CHI (zh),GYN (zh),PED (zh),STO (zh),ORL (zh),DER (zh),DER (en),ORL (en),GYN (en),NEUR (en),NEUC (en),ORTHOPEDIE (en),PED (en),STO (en),CHI (en),URO (en)",
