id,vendor_id,name,official_name,address,phone,post_code,h_class,avg_waiting_time,avg_rating,created_at,updated_at,latitude,longitude,city,parent_id,website,district,gbi_id,ownership
1,H00000985,红房子医院(黄浦院区)  》746,复旦大学附属妇产科医院(黄浦院区),大林路358号,021 33189900,200011,三级甲等,26,4.14,2013-11-30 02:59:23 +0800,2015-02-17 17:39:09 +0800,31.214251,121.482978,上海市,,http://fckyy.fudan.edu.cn,黄浦区,,
2,H00025833,红房子医院(杨浦院区) 》747,复旦大学附属妇产科医院(杨浦院区),沈阳路128号,021 33189900,200090,三级甲等,75,4.25,2013-11-30 02:59:24 +0800,2015-02-17 17:39:10 +0800,31.25965,121.534629,上海市,1,http://fckyy.fudan.edu.cn,杨浦区,,
3,H00000986,中国福利会国际和平妇幼保健院 》783,"中国福利会国际和平妇幼保健院
(上海交通大学医学院附属国际和平妇幼保健院)",衡山路910号(华山路1961号),021 64070434,200030,三级甲等,28,4.39,2013-11-30 02:59:24 +0800,2015-02-17 17:39:09 +0800,31.196461,121.438007,上海市,,http://www.ipmch.com.cn,徐汇区,,
4,H00001034,954,上海市精神卫生中心(闵行院区),沪闵路3210号,021 64901737,201108,三级甲等,,0,2013-11-30 02:59:24 +0800,2015-02-17 17:39:10 +0800,31.1389002,121.4095131,上海市,5,http://www.smhc.org.cn,闵行区,,
5,H00000987,》773,上海市精神卫生中心(徐汇院区),宛平南路600号,021 64387250,200030,三级甲等,6,4.32,2013-11-30 02:59:25 +0800,2015-02-17 17:39:09 +0800,31.187697,121.44933,上海市,,http://www.smhc.org.cn,徐汇区,,
6,H00000988,上海胸科医院 》775,上海交通大学附属胸科医院,淮海西路241号,021 22200000,200030,三级甲等,12,4.63,2013-11-30 02:59:25 +0800,2015-02-17 17:39:09 +0800,31.198133,121.425646,上海市,,http://www.shxkyy.com,徐汇区,,
7,G92015626,上海五官科医院,复旦大学附属眼耳鼻喉科医院,汾阳路83号,021 64377134,200031,三级甲等,40,4.44,2013-11-30 02:59:25 +0800,2015-03-05 16:01:09 +0800,31.209814,121.453218,上海市,,http://www.fdeent.org/,徐汇区,92015626,0
8,H00009332,上海五官科医院(浦东分院) 》752,复旦大学附属眼耳鼻喉科医院(浦东分院),耀华路389号,021 58835588,200126,三级未评,15,4.67,2013-11-30 02:59:26 +0800,2015-02-17 17:39:10 +0800,31.17427,121.484897,上海市,7,http://www.fdeent.org,浦东新区,,
9,G92015619,上海市肿瘤医院,复旦大学附属肿瘤医院,东安路270号,021 64175590,200032,三级甲等,39,4.42,2013-11-30 02:59:26 +0800,2015-03-05 16:01:09 +0800,31.191749,121.454281,上海市,,http://www.shca.org.cn,徐汇区,92015619,0
10,H00025789,上海市肿瘤医院(闵行分院)  819,复旦大学附属肿瘤医院(闵行分院),瑞丽路106号,021 64629290,200240,二级未评,36,4.51,2013-11-30 02:59:26 +0800,2015-02-17 17:39:13 +0800,31.191749,121.454281,上海市,9,,闵行区,,
11,H00000991,上海市第一妇婴保健院(西院)  994,同济大学附属第一妇婴保健院(西院),长乐路536号(近陕西南路),021 54035206,200040,三级甲等,21,4.03,2013-11-30 02:59:27 +0800,2015-02-17 17:39:09 +0800,31.220036,121.456574,上海市,,http://www.51mch.com,静安区,,
12,H00009537,上海市第一妇婴保健院(南院)  986,同济大学附属第一妇婴保健院(南院),耀华路391号(近长清路),021 58838888,200126,三级甲等,37,4.31,2013-11-30 02:59:27 +0800,2015-02-17 17:39:10 +0800,31.174017,121.484824,上海市,11,http://www.51mch.com,浦东新区,,
13,G92015667,,上海市儿童医院,北京西路1400弄24号,021 62474880-82117,200040,三级甲等,22,4.63,2013-11-30 02:59:27 +0800,2015-03-05 16:01:10 +0800,31.2280475,121.4489351,上海市,,www.shchildren.com.cn/,静安区,92015667,0
14,H00000993,（667）,上海市眼病防治中心,康定路380号,021 62717733,200040,三级未评,,0,2013-11-30 02:59:28 +0800,2015-02-17 17:39:09 +0800,31.234771,121.448764,上海市,,http://www.shsyf.com,静安区,,
15,H00001033,上海市皮肤病医院武夷门诊 》774,上海市皮肤病医院(长宁区门诊部),武夷路200号,021 61833107,200050,三级未评,30,5,2013-11-30 02:59:28 +0800,2015-02-17 17:39:10 +0800,31.213334,121.426665,上海市,16,http://www.shskin.com,长宁区,,
16,H00000994,,上海市皮肤病医院(闸北路门诊住院部),保德路1278号,021 61833100,200050,三级甲等,34,4.86,2013-11-30 02:59:28 +0800,2015-02-17 17:39:09 +0800,31.213334,121.426665,上海市,,http://www.shskin.com,闸北区,,
17,G92015469,同济口腔医院,同济大学附属口腔医院,延长中路399号,021 66315500,200072,三级甲等,48,4.5,2013-11-30 02:59:29 +0800,2015-03-05 16:01:35 +0800,31.270511,121.45291,上海市,,www.tongjikouqiang.com/,闸北区,92015469,0
18,H00000997,上海市公共卫生临床中心(金山本部) 》771,复旦大学附属公共卫生临床中心(金山本部),漕廊公路2901号,021 37990333,201508,三级甲等,,0,2013-11-30 02:59:29 +0800,2015-02-17 17:39:09 +0800,30.791935,121.341463,上海市,,http://www.shaphc.org,金山区,,
