id,nom,nom_zh,prenom,prenom_zh,nationalite,sexe,descr_fr,descr_en,descr_zh,descr_ja,descr_de,enum( id_hosp ),",",enum( lang ),Hospitals They work in,,,
,,,,,,,,,,,,,,,,,,
39,SIT,,Angela,,zh,F,,"Qualifications &amp; Experiences: \
· Fellow of the College of Surgeons of Hong Kong\
· Fellow of the Royal College of Surgeons of Edinburgh, England\
· Fellow of of the Royal college of Edinburgh (Urology)\
· Special interest is on neurourology, female urology and pediatric urology\
",,\N,\N,42,URO,"en,hk,zh",GHC PuXi Medical & Dental Center,,,
40,KING,,Peter,,zh,M,,"Days &amp; Hours: By Appointment.
\

\
Qualifications &amp; Experiences: 
\
· Bachelor of Science, Fordham University, New York, USA
\
· Doctor of Medicine, Temple University School of Medicine, Philadelphia, USA 
\
· Medical Internship, Pacific Medical Center, San Francisco, California, USA
\
· Internal Medicine Residency and Cardiology Fellowship, 
\
University of California at Los Angeles and Veterans Administration Medical Center, Sepulveda, California, USA
\
· US Board Certified in Internal Medicine and Cardiovascular Disease
\
· Director of Hong Kong Heart Center, Adventist Hospital, Hong Kong
\
· Chief of Cardiology, Hong Kong Adventist Hospital
\
· Fellow of the American College of Physicians 
\
· Fellow of the American College of Cardiology 
\
· Fellow of the American College of Chest Physicians 
\
· Fellow of the International College of Angiology
\
",,\N,\N,42,CAR,"en,hk,zh",GHC PuXi Medical & Dental Center,,,
44,GUO,,Chunying,,zh,F,,"Dr. Guo Chun Ying is an attending dermatologist with 12 years of clinical experience in dermatology. She received her degree in medicine and medical technology from Jilin University in 1999. She then went on to complete further training in skin cancer diagnosis and treatment at Queensland Medical University in Australia.\
\
She has experience in diagnosing and treating many types of skin disorders, pre-skin cancer and skin cancer, as well as completing many types of cosmetic procedures and laser treatments. Her special interests include acne treatment, skin cancer, atopic dermatitis and cosmetic procedures including botox injections, fruit acid skin peels, laser skin rejuvenation treatments and laser hair removal",,\N,\N,183,DER,"en,zh",United Family Quankou Clinic,,,
45,BURKSCHAT,,Jeanette,,de,F,,"Dr. Jeanette Burkschat is from Germany. She received her medical degree from the Medical School of Hannover in Germany. After graduating, she completed her residency in Otolaryngology (Ear, Nose and Throat) at Hospital Siloah in Pforzheim, Germany. In addition to her ENT degree, she has further qualifications in alternative medicine, manual therapy, treatment of snoring and sleep apnea, radiology and emergency diagnosis, laser surgery and sonography.
\

\
Dr. Burkschat has over seven years experience as a senior-level physician working in various hospitals in Germany. Most recently, she was Assistant Medical Director for the Ear, Nose and Throat clinic at Siloah St. Trudpert hospital in Pforzheim, Germany supervising a team of seven physicians. 
\

\
As well as being a specialist in nose disorders (septum and sinuses), throat conditions (tonsils and adenoids) and all types of ear disorder, she also has extensive experience in treating cases of head and neck cancer and salivary glands tumors","简宁医生(Dr. Jeanette Burkschat)来自德国。她从德国汉诺威医学院获得医学学位，毕业后在普福尔茨海姆的Siloah医院完成耳鼻喉科住院医师培训。除了拥有耳鼻喉科证书之外，她还具有替代医学、手法治疗、打鼾及睡眠窒息治疗、放射学、应急诊断、激光手术以及超声波检查法等方面的资质。
\

\
简宁医生具有超过7年的经验，她作为高级医师曾在德国多家医院工作过。加入上海和睦家医院之前，她在普福尔茨海姆的Siloah St. Trudpert医院担任助理医疗总监，管理一个7人医师团队，而且还是主治鼻部疾病（鼻中隔和鼻窦）、咽喉症状（扁桃体和腺体增殖体）以及各种耳部疾病的专科医生。
\

\
她在头颈部癌症和唾液腺肿瘤的治疗方面也积累了大量经验。","ブルクシャット医師：ドイツ出身
\
ブルクシャット医師はドイツにあるHannover医学院で医師の学位を取得し、卒業後ドイツのPforzheim にあるSiloah病院で耳鼻咽喉科の研修を終了しました。加えて放射線科と緊急診断、睡眠時無呼吸、レーザー手術と超音波検査の実習も終了しています。
\
ブルクシャット医師はドイツのいくつかの病院で上級レベルの医師として数年間の経験を持ちます。最近はドイツのPforzheimにある耳鼻咽喉科専門医院で副医長をしていました。鼻、副鼻腔、唾液腺、中耳の障害、さらに頭部と頚椎との癌を診断し、手術することができます。",,183,ORL,"en,de",United Family Quankou Clinic,,,
46,NIETVELT,,Sarai *,,be,F,,"Dr. Nietvelt is from Belgium. She received her medical degree from the Catholic University of Leuven in Belgium and training in Tropical Medicine from the Institute of Tropical Medicine and Hygiene in Antwerp, Belgium.
\

\
Dr. Nietvelt has worked as a physician in Morocco, Argentina, Belgium, Laos and China. Before coming to Shanghai, she worked as a Senior Medical Officer for SOS International in Tianjin, China and in Gnommalat, Laos.",萨瑞艾医生(Dr. Sarai Nietvelt)来自比利时。她在比利时荷语鲁汶天主教大学(Catholic University of Leuven)获得医学学位，并在比利时安特卫普热带医学和卫生学院接受培训。萨瑞艾医生曾在摩洛哥、阿根廷、比利时和中国担任过医生。来上海之前，她在中国天津国际救援中心(SOS International )担任高级卫生官员。,"ニートヴェルト医師：ベルギー出身
\
ベルギー・ルーヴァンカトリック大学で医学の学位を取得。
\
アントワープにある熱帯医学研究所衛生学院で研修を受ける。
\
その後、モロッコ、アルゼンチン、ベルギー、ラオス、中国で医療経験を積む。
\
前職は中国天津国際救急センター上級医師監督官を勤める。",,"43,147",GEN,"fr,es,en,nl","Shanghai United Family Hospital-Puxi Main Hospital,United Family Minhang SRC Clinic",,,
50,KEEFE,,Margaret,,us,F,,"Margaret Keefe received her Bachelor of Science with a major in General Dietetics from Michigan State University in the United States. Since graduating, she has worked primarily as a Clinical Dietitian and nutritionist. Ms. Keefe is a registered dietitian with clinical experience in both private clinics and in hospital settings. \
\
In addition to giving clinical evaluations, she has experience giving advice on food safety and nutritional issues.",,\N,\N,43,DIE,en,Shanghai United Family Hospital-Puxi Main Hospital,,,
51,MIYASAKA,,Lincoln Sakiara,,br,M,,"Dr. Lincoln Sakiara Miyasaka is from Brazil. He received his medical degree from the Faculdade de Medicina de Jundiai and his PhD from the Escola Paulista de Medicina da Universidade Federal de Sao Paulo. Dr. Miyasaka completed his residency in Internal Medicine at the Hospital das Clinicas de Universidade de Sao Paulo in Brazil. He was also a visiting researcher at Jichi Medical School in Japan. In addition, Dr. Miyasaka is also a Brazilian Association of Psychiatry certified specialist and Family Medicine certified by Brazilian Association of Family and Community Medicine. He has extensive experience treating mental health related issues and has special interest in anxiety and depression",宫坂医生(Dr. Lincoln Sakiara Miyasaka)来自巴西。他自容迪亚伊医学院获得医学学位后，又在圣保罗联邦大学保利斯塔医学院取得博士学位。宫坂医生在巴西圣保罗大学附属医院完成了内科住院医师培训，并于日本自治医科大学担任访问学者。此外，他还是“巴西全科及社区医学联合会”的认证医师以及“巴西精神病联合会”的认证专家。宫坂医生在治疗与心理健康相关的疾病方面有着丰富经验，他以治疗焦虑症和抑郁症见长。,"宮坂医師：ブラジル出身
\
ジュンディアイ大学医学部卒業、サンパウロ医科大学パウリスタ・スクールにて医学博士取得。
\
サンパウロ大学付属病院にて内科の研修を修了。日本自治医科大学客員研究員
\
ブラジル家庭医学会、地域医療学会認定医。
\
ブラジル精神医学会認定精神科医。
\
メンタルヘルス関連の治療に豊富な経験を持ち、不安やうつ病の治療を特に専門とする。",,"43,147",GEN,"en,ja,pt","Shanghai United Family Hospital-Puxi Main Hospital,United Family Minhang SRC Clinic",,,
56,Austin,,David,,zh,\N,,,,\N,\N,42,CAR,zh,GHC PuXi Medical & Dental Center,,,
57,YAM,任,Steven,伟明,my,M,,"Dr. Steven Yam has many years of practice in Singapore. He is highly experienced in Family Medicine, Emergency Medicine and Psychiatry.
\

\
Language:
\
English, Mandarin, Malay, Cantonese and Hokkien
\

\
Experience:
\
- MBBS, National University of Singapore (Singapore)
\
- Residencies: Department of OB-Gyn at KK Women &amp; Children Hospital, Department of Orthopedic Surgery at Alexandra Hospital, Department of Medicine at Changi General Hospital
\
- Family Physician, Healthway Medical Group (Singapore)
\
- Physician, Department of Emergency Medicine, Parkway East Hospital (Singapore)
\
- Medical officer, various departments of psychiatry, National University Hospital, Institute of Mental Health and Tan Tock Seng Hospital (Singapore)-
\
Medical Officer, Department of Medicine, National University Hospital (Singapore)
\
- Certified under MH-GP partnership for psychiatry (Singapore)
\
- Certificate for aesthetic medicine by American Academy of Aesthetic Medicine","任伟明医师有多年在新加坡行医的经验，他在全科、急诊科及精神病科方面有丰富的经验。
\

\

\
经验:
\
新加坡国立大学医学系
\
曾在新加坡竹脚女人及小孩医院妇产科实习，新加坡亚历山大医院骨科实习，新加坡樟宜综合医院内科实习
\
新加坡康威医疗集团全科医师
\
新加坡百汇医疗集团东岸医院急诊科医师
\
新加坡精神卫生学院小孩精神科医师
\
新加坡国立大学医院、精神卫生学院及陈笃生综合医院精神科医师
\
新加坡国立大学医院内科医师
\
获新加坡精神卫生学院颁发的家庭医生许可证
\
获美国医学美容院颁发的许可证
\
",,,"44,144,141",GEN,"zh,hk,en","ParkwayHealth Hong Qiao Medical Center,ParkwayHealth Jin Mao Tower Medical Center,ParkwayHealth's Shanghai Centre Medical & Dental Centers",,,
