Chinese,English
儿科,Pediatrics
妇产科,Obstetrics and Gynecology
普通外科专业,General surgery specialty
妇产科,Obstetrics and Gynecology
急诊医学科,Emergency Medicine
内科,Internal medicine
急诊医学科,Emergency Medicine
妇科专业,Gynecological Professional
内科,Internal medicine
"产科专业,妇科专业","Professional obstetrics, gynecology specialty"
"产科专业,妇科专业","Professional obstetrics, gynecology specialty"
"产科专业,妇科专业","Professional obstetrics, gynecology specialty"
"产科专业,妇科专业","Professional obstetrics, gynecology specialty"
"产科专业,妇科专业","Professional obstetrics, gynecology specialty"
儿科专业,Pediatric specialty
儿科专业,Pediatric specialty
儿科专业,Pediatric specialty
妇产科,Obstetrics and Gynecology
医疗美容科,Medical Cosmetology
口腔科,Dentistry
心血管内科专业,Professional Cardiovascular Medicine
妇科专业,Gynecological Professional
心脏大血管外科专业,Cardiac vascular surgical specialties
普通外科专业,General surgery specialty
普通外科专业,General surgery specialty
内分泌专业,Endocrine Professional
麻醉科,Anesthesiology
重症监护,Intensive Care
呼吸道传染病专业,Respiratory diseases Professional
妇科专业,Gynecological Professional
产科专业,Obstetric Professional
儿科,Pediatrics
儿童保健科,Child Health Division
风湿科,Rheumatology
消化内科专业,Gastroenterology Professional
口腔科,Dentistry
急诊医学科,Emergency Medicine
妇产科,Obstetrics and Gynecology
妇产科专业,Gynecology and Obstetrics
神经内科专业,Neurology
呼吸内科专业,Professional Respiratory Medicine
内科,Internal medicine
心血管内科专业,Professional Cardiovascular Medicine
泌尿外科专业,Urology Professional
内科,Internal medicine
呼吸内科专业,Professional Respiratory Medicine
神经外科专业,Neurosurgery
麻醉科,Anesthesiology
呼吸内科专业,Professional Respiratory Medicine
急诊医学科,Emergency Medicine
神经内科专业,Neurology
精神病专业,Psychiatric Professional
心血管内科专业,Professional Cardiovascular Medicine
心血管内科专业,Professional Cardiovascular Medicine
肝炎专业,Hepatitis Professional
重症监护,Intensive Care
急诊医学科,Emergency Medicine
耳鼻咽喉科,"Ear, nose and throat"
儿科,Pediatrics
眼科,Ophthalmology
呼吸内科专业,Professional Respiratory Medicine
内分泌专业,Endocrine Professional
消化内科专业,Gastroenterology Professional
耳鼻咽喉科,"Ear, nose and throat"
精神科,Psychiatric
内科,Internal medicine
急诊科专业,Professional emergency department
内科,Internal medicine
妇产科,Obstetrics and Gynecology
肾病学专业,Nephrology specialty
骨科专业,Orthopedics
神经内科专业,Neurology
呼吸内科专业,Professional Respiratory Medicine
呼吸内科专业,Professional Respiratory Medicine
预防保健科,Preventive health care
急诊医学科,Emergency Medicine
口腔科,Dentistry
儿科,Pediatrics
消化内科专业,Gastroenterology Professional
精神科,Psychiatric
普通外科专业,General surgery specialty
儿童保健科,Child Health Division
肿瘤科专业,Oncology Professional
麻醉科,Anesthesiology
心血管内科专业,Professional Cardiovascular Medicine
儿科,Pediatrics
内科,Internal medicine
消化内科专业,Gastroenterology Professional
普通外科专业,General surgery specialty
神经外科专业,Neurosurgery
消化内科专业,Gastroenterology Professional
呼吸内科专业,Professional Respiratory Medicine
呼吸内科专业,Professional Respiratory Medicine
普通外科专业,General surgery specialty
心血管内科专业,Professional Cardiovascular Medicine
肿瘤介入科,Cancer Interventional Radiology
妇科专业,Gynecological Professional
重症监护,Intensive Care
"儿科,心血管内科专业","Pediatrics, cardiology specialty"
"耳鼻咽喉科,耳科专业","Otolaryngology, otology"
胃肠外科,Gastrointestinal Surgery
心脏大血管外科专业,Cardiac vascular surgical specialties
"消化内科专业,消化科","Gastroenterology specialty, Gastroenterology"
消化内科专业,Gastroenterology Professional
心血管内科专业,Professional Cardiovascular Medicine
消化内科专业,Gastroenterology Professional
消化内科专业,Gastroenterology Professional
"肿瘤科,放射治疗专业","Oncology, radiation therapy professional"
骨科专业,Orthopedics
儿科,Pediatrics
神经外科专业,Neurosurgery
普通外科专业,General surgery specialty
心血管内科专业,Professional Cardiovascular Medicine
肿瘤科,Oncology
心血管内科专业,Professional Cardiovascular Medicine
内分泌专业,Endocrine Professional
消化内科专业,Gastroenterology Professional
内分泌专业,Endocrine Professional
肾病学专业,Nephrology specialty
"重症监护,心血管内科专业","Intensive care, cardiology specialty"
心血管内科专业,Professional Cardiovascular Medicine
内分泌专业,Endocrine Professional
消化内科专业,Gastroenterology Professional
内分泌专业,Endocrine Professional
肿瘤科,Oncology
妇科专业,Gynecological Professional
普通外科专业,General surgery specialty
急诊医学科,Emergency Medicine
普通外科专业,General surgery specialty
"胸外科专业,心脏大血管外科专业","Thoracic surgery professional, cardiac vascular surgical specialties"
神经内科专业,Neurology
妇科专业,Gynecological Professional
儿科,Pediatrics
泌尿外科专业,Urology Professional
"肿瘤科,内科,妇产科","Oncology, internal medicine, obstetrics and gynecology"
肿瘤科,Oncology
司法精神专业,Forensic Psychiatry
儿科,Pediatrics
妇科专业,Gynecological Professional
麻醉科,Anesthesiology
麻醉科,Anesthesiology
呼吸内科专业,Professional Respiratory Medicine
肿瘤科,Oncology
胸外科专业,Thoracic Surgery Professional
呼吸内科专业,Professional Respiratory Medicine
心脏大血管外科专业,Cardiac vascular surgical specialties
麻醉科,Anesthesiology
急诊医学科,Emergency Medicine
消化内科专业,Gastroenterology Professional
急诊医学科,Emergency Medicine
